Depth(ft),Block Position(ft),ROP Avg(fph),Total Flow(gpm),Pres Xducer 1(psig),AGRC(api),Hookload Avg(klb),DCWA(klb),DCWX(klb),WOB Avg(klb),Torque Abs Avg(f-kp),DCTA(f-p),DCTX(f-p),DCBA(f-p),DCD(deg),RPM Surface Avg(rpm),Ann Press - EMW(ppg),Temp Annulus(degF),Dens Mud In Avg(ppg),GP_Min_RPM(rpm),GP_Mean_RPM(rpm),GP_Max_RPM(rpm),GP_Tor_Eff(NONE),RPM(rpm),RPM Max(rpm),RPM Min(rpm),StickSlip Ind(NONE),AVGX-M5(g),AVGY-M5(g),AVGZ-M5(g),PEAKX-M5(g),PEAKY-M5(g),PEAKZ-M5(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g)
    17064.5000,50.6632,57.5818,952.1418,4817.1587,73.9625,746.0545,10.3920,16.2280,15.5247,14.9776,4684.0000,5928.0000,10568.0000,231.4260,80.1639,13.1172,143.2400,12.6000,67.3798,74.0579,80.2608,91.0294,80.6400,87.0000,71.5000,19,0.1600,0.1500,0.0200,1.0000,1.4000,0.4000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17065.0000,50.2188,61.0962,952.1418,4819.1855,72.4098,745.7014,10.8460,15.0120,15.8596,13.4839,4604.0000,5658.0000,11242.0000,231.4260,80.3279,13.1067,143.2400,12.6000,67.3798,74.0579,80.2608,91.0294,80.0000,88.5000,71.5000,21,0.1300,0.1300,0.0300,1.0000,1.8000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17065.5000,49.6763,65.6307,952.1418,4817.1587,68.3685,745.3762,12.4220,18.3180,16.2006,13.8326,5098.0000,6266.0000,10816.0000,179.9980,80.2787,13.1074,143.2400,12.6000,67.1925,79.6778,91.2744,84.4118,80.3200,89.0000,71.0000,22,0.1700,0.1500,0.0200,1.0000,1.0000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,3.0000,3.0000,1.0000
    17066.0000,49.1640,48.7666,952.1418,4821.2124,72.3611,751.2985,-7.9880,-0.9500,10.3089,10.2836,2856.0000,3622.0000,9469.0000,231.4260,80.3279,13.1081,143.2400,12.6000,67.1925,79.6778,91.2744,84.4118,81.2800,106.0000,63.5000,52,0.1300,0.1400,0.0200,1.0000,1.0000,0.4000,0.8000,0.2000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17066.5000,48.3215,0.0000,1049.1533,5743.9014,69.0475,728.7375,23.7160,29.8500,29.4451,20.4087,9474.0000,15044.0000,10708.0000,231.4260,80.4344,13.1190,143.4200,12.6000,61.1910,80.1478,97.7554,76.4706,80.9600,92.0000,68.0000,30,0.4400,0.2500,0.0300,2.6000,1.4000,0.4000,0.4000,0.2000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17067.0000,47.7522,0.0000,1048.6610,5754.0352,73.7434,737.3939,18.4060,22.6180,20.8080,17.0185,7526.0000,9494.0000,7642.0000,179.9980,80.3279,13.1220,143.4200,12.6000,61.1910,80.1478,97.7554,76.4706,74.8800,135.0000,18.5000,156,0.1500,0.1600,0.0300,1.4000,1.4000,0.4000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000
    17067.5000,47.2466,74.5390,1048.6610,5756.0615,72.3896,737.5811,16.9120,22.8620,20.6186,16.5325,6630.0000,8540.0000,10136.0000,282.8540,80.1639,13.1138,143.4200,12.6000,70.7773,79.2078,87.0383,89.4118,81.6000,92.5000,75.0000,21,0.1600,0.1700,0.0300,1.8000,0.6000,0.4000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000
    17068.0000,46.7620,86.6169,1048.6610,5747.4482,74.3494,728.5316,15.6800,22.5780,29.5954,17.2947,6562.0000,9000.0000,9131.0000,154.2840,80.1639,13.1167,143.4200,12.6000,70.7773,79.2078,87.0383,89.4118,80.9600,88.0000,71.5000,20,0.1200,0.1500,0.0300,0.6000,1.0000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000
    17068.5000,46.2477,24.1137,1048.6610,5739.8477,90.4926,731.4011,7.9060,13.0160,26.5763,13.0454,3272.0000,4614.0000,9326.0000,257.1400,80.3279,13.1175,143.4200,12.6000,72.9205,80.1478,86.8607,91.0294,80.3200,90.5000,68.0000,28,0.2200,0.2500,0.0300,1.0000,3.0000,0.4000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17069.0000,45.7485,24.2803,1048.6610,5736.8076,79.8419,740.6077,8.8700,15.6000,17.6325,15.1936,3964.0000,5958.0000,8679.0000,257.1400,80.3279,13.1081,143.6000,12.6000,72.9205,80.1478,86.8607,91.0294,79.6800,84.5000,74.0000,13,0.2200,0.2000,0.0300,1.0000,1.0000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000
    17069.5000,45.2457,73.8609,1049.6458,5746.4351,78.6056,739.1669,8.3880,13.2920,18.9904,16.5279,3716.0000,5204.0000,7777.0000,282.8540,80.3279,13.1111,143.6000,12.6000,71.6796,80.6177,88.9197,88.9706,79.6800,84.5000,74.0000,13,0.2100,0.1900,0.0300,1.8000,1.4000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17070.0000,44.7996,69.9367,1048.6610,5759.1021,93.0828,734.8041,14.8080,20.0800,23.3545,17.1275,6022.0000,7550.0000,9858.0000,128.5700,80.1639,13.1085,143.6000,12.6000,71.6796,80.6177,88.9197,88.9706,80.3200,88.0000,73.0000,19,0.1800,0.1800,0.0300,0.6000,1.0000,0.4000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17070.5000,44.2512,62.2569,1048.6610,5748.9683,78.6786,731.4344,13.1520,20.0940,26.7042,16.7834,5892.0000,8006.0000,10409.0000,257.1400,80.3279,13.1159,143.6000,12.6000,71.6796,80.6177,88.9197,88.9706,78.0800,97.0000,58.5000,49,0.3700,0.3000,0.0300,2.2000,1.4000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
